OBS Stamps,PDS Time,Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 5 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressed,Pedal 6 Pressed,Pedal 7 Pressed
1721332113166666666,1721332113164684400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113200000000,1721332113189193600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113233333333,1721332113230194300,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113266666666,1721332113251193500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113300000000,1721332113291516400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113333333333,1721332113316516600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113366666666,1721332113357540700,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113400000000,1721332113398031900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113433333333,1721332113423032100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113466666666,1721332113464036200,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113500000000,1721332113484548200,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113533333333,1721332113529714200,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113566666666,1721332113549715200,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113600000000,1721332113590802900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113633333333,1721332113610803400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113666666666,1721332113655803600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113700000000,1721332113697169500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113733333333,1721332113718169500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113766666666,1721332113763173600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113800000000,1721332113783692000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113833333333,1721332113824690900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113866666666,1721332113848688300,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113900000000,1721332113890170300,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113933333333,1721332113931173100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113966666666,1721332113955169900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114000000000,1721332113996704700,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114033333333,1721332114016694500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114066666666,1721332114057692500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114100000000,1721332114081795500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114133333333,1721332114122793100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114166666666,1721332114163797700,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114200000000,1721332114188884800,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114233333333,1721332114229882100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114266666666,1721332114249881100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114300000000,1721332114295417500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114333333333,1721332114315417000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114366666666,1721332114356418400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114400000000,1721332114376931000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114433333333,1721332114421938100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114466666666,1721332114462942000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114500000000,1721332114483175600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114533333333,1721332114528175900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114566666666,1721332114549175600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114600000000,1721332114589695000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114633333333,1721332114614695400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114666666666,1721332114655696500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114700000000,1721332114696244300,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114733333333,1721332114717213400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114766666666,1721332114762212000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114800000000,1721332114782729400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114833333333,1721332114823275800,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114866666666,1721332114848275000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114900000000,1721332114889110900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114933333333,1721332114930110800,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332114966666666,1721332114954110400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332115000000000,1721332114995633800,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332115033333333,1721332115016629400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332115066666666,1721332115060630000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332115100000000,1721332115081146000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332115133333333,1721332115122144800,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332115166666666,1721332115143146900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332115200000000,1721332115188302400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332115233333333,1721332115229302900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332115266666666,1721332115249303500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
