server_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,video_time,video_id,intel_time,intel_frame,smartwatch_1_time,smartwatch_1_wrist_position,smartwatch_1_sensor_type,smartwatch_1_value_X_Axis,smartwatch_1_value_Y_Axis,smartwatch_1_value_Z_Axis,smartwatch_2_time,smartwatch_2_wrist_position,smartwatch_2_sensor_type,smartwatch_2_value_X_Axis,smartwatch_2_value_Y_Axis,smartwatch_2_value_Z_Axis,PDS_time,pedal_1,pedal_2,pedal_3,pedal_4,pedal_5,pedal_6,pedal_7,pedal_1_pressed,pedal_2_pressed,pedal_3_pressed,pedal_4_pressed,pedal_5_pressed,pedal_6_pressed,pedal_7_pressed,zed_time,zed_frame
1721412391768097900,85,0,559.779785,-175.914844,-217.32627,17.709961,53.986816,136.032715,1721412391.7344,88,1,532.320996,-102.468164,-216.991406,-177.912598,-28.850098,119.20166,1721412391.7344,86,2,403.733496,-74.562891,-125.238867,-150.974121,10.26123,145.327148,1721412391.7344,87,3,383.75332,-140.530957,-214.200879,171.013184,-10.546875,-92.746582,1721412391.7344,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391750097100,-1,-1
1721412391802097500,85,0,559.779785,-176.361328,-216.991406,17.600098,53.986816,135.966797,1721412391.7675,88,1,532.209375,-102.579785,-217.103027,-177.912598,-28.916016,119.157715,1721412391.7675,86,2,403.733496,-74.674512,-125.127246,-151.018066,10.26123,145.349121,1721412391.7675,87,3,383.75332,-140.530957,-214.089258,171.013184,-10.546875,-92.746582,1721412391.7675,0,0,1721412391775098000,206,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391795097500,-1,-1
1721412391835613700,85,0,559.556543,-176.361328,-216.991406,17.578125,54.052734,135.900879,1721412391.8006,88,1,531.986133,-102.468164,-216.991406,-177.956543,-28.959961,119.223633,1721412391.8006,86,2,403.621875,-74.674512,-125.015625,-151.018066,10.26123,145.371094,1721412391.8006,87,3,383.641699,-140.642578,-214.089258,170.991211,-10.568848,-92.680664,1721412391.8006,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391819103600,-1,-1
1721412391869613400,85,0,559.668164,-175.803223,-216.991406,17.687988,54.030762,135.922852,1721412391.8373,88,1,532.097754,-102.133301,-216.991406,-177.868652,-28.937988,119.245605,1721412391.8373,86,2,403.733496,-74.674512,-125.015625,-150.996094,10.283203,145.371094,1721412391.8373,87,3,383.75332,-140.642578,-213.866016,171.013184,-10.50293,-92.658691,1721412391.8373,0,0,1721412391841614400,207,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391868613400,-1,-1
1721412391903611400,85,0,559.891406,-175.468359,-216.991406,17.797852,53.964844,136.032715,1721412391.8704,88,1,532.097754,-102.133301,-216.991406,-177.868652,-28.916016,119.20166,1721412391.8704,86,2,403.733496,-74.674512,-125.127246,-150.996094,10.26123,145.371094,1721412391.8704,87,3,383.864941,-140.754199,-213.866016,171.013184,-10.480957,-92.658691,1721412391.8704,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391893631100,-1,-1
1721412391937132000,85,0,559.891406,-175.245117,-217.103027,17.86377,54.008789,136.120605,1721412391.9035,88,1,532.097754,-102.02168,-217.214648,-177.890625,-28.981934,119.223633,1721412391.9035,86,2,403.733496,-74.562891,-125.127246,-150.996094,10.239258,145.371094,1721412391.9035,87,3,383.864941,-140.642578,-213.866016,171.013184,-10.524902,-92.658691,1721412391.9035,0,0,1721412391908612400,208,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391917618100,-1,-1
1721412391971147200,85,0,560.003027,-174.352148,-217.437891,18.061523,54.030762,136.230469,1721412391.9365,88,1,532.209375,-101.01709,-217.549512,-177.648926,-29.003906,119.20166,1721412391.9365,86,2,403.845117,-74.45127,-125.238867,-150.930176,10.239258,145.393066,1721412391.9365,87,3,383.864941,-140.530957,-213.977637,171.057129,-10.524902,-92.680664,1721412391.9365,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391963148900,-1,-1
1721412392005130600,85,0,560.114648,-174.128906,-217.549512,18.149414,54.030762,136.274414,1721412391.9696,88,1,532.432617,-100.905469,-217.549512,-177.60498,-28.959961,119.11377,1721412391.9696,86,2,403.845117,-74.45127,-125.238867,-150.952148,10.26123,145.393066,1721412391.9696,87,3,383.976562,-140.419336,-214.089258,171.057129,-10.50293,-92.724609,1721412391.9696,0,0,1721412391976132300,209,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391987132600,-1,-1
1721412392038648900,85,0,560.003027,-174.017285,-217.772754,18.171387,54.074707,136.296387,1721412392.0064,88,1,532.320996,-101.128711,-217.884375,-177.692871,-29.003906,119.135742,1721412392.0064,86,2,403.845117,-74.562891,-125.127246,-150.974121,10.26123,145.393066,1721412392.0064,87,3,383.864941,-140.530957,-214.089258,171.035156,-10.524902,-92.724609,1721412392.0064,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412392036647400,-1,-1
1721412392072648100,85,0,560.003027,-173.570801,-217.995996,18.149414,54.118652,136.164551,1721412392.0394,88,1,531.986133,-100.570605,-218.107617,-177.626953,-29.047852,119.20166,1721412392.0394,86,2,403.845117,-74.45127,-125.238867,-150.952148,10.239258,145.393066,1721412392.0394,87,3,383.976562,-140.419336,-214.200879,171.057129,-10.524902,-92.724609,1721412392.0394,0,0,1721412392042651400,210,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412392060648300,-1,-1
