Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressesd,Pedal 6 Pressed,Pedal 7 Pressed,Computer Time
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366513079600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366533031500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366554088100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366578036800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366599103000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366619692600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366639689500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366660655600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366681655600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366702180700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366722186100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366742208500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366767184800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366787197600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366807712300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366828713700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366848708000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366869708200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366889747400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366910275400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366931241800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366955298700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366975331300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366996347100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367016856100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367036890600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367057888600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367077888100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367098897100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367123412600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367143452400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367164445200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199367184413800
