server_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,video_time,video_id,3d_camera_time,3d_camera_frame_id,smartwatch_1_time,smartwatch_1_wrist_position,smartwatch_1_sensor_type,smartwatch_1_value_X_Axis,smartwatch_1_value_Y_Axis,smartwatch_1_value_Z_Axis,smartwatch_2_time,smartwatch_2_wrist_position,smartwatch_2_sensor_type,smartwatch_2_value_X_Axis,smartwatch_2_value_Y_Axis,smartwatch_2_value_Z_Axis,PDS_time,pedal_1,pedal_2,pedal_3,pedal_4,pedal_5,pedal_6,pedal_7,pedal_1_pressed,pedal_2_pressed,pedal_3_pressed,pedal_4_pressed,pedal_5_pressed,pedal_6_pressed,pedal_7_pressed
1720460422134992100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732234,right,gyro,0.00366519158706069,-0.0012217304902151227,-0.004886921960860491,1669385662192,right,gyro,-0.0012217304902151227,0.0,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422119449400
1720460422169336600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732274,right,gyro,0.00855211354792118,0.0,-0.00366519158706069,1669385662172,right,gyro,-0.0012217304902151227,0.0,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422163753100
1720460422203243400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732315,right,gyro,0.0024434609804302454,0.0,-0.004886921960860491,1669385662255,right,acc,0.06464344263076782,-0.047884032130241394,9.732429504394531,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422184916700
1720460422237339300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732355,right,gyro,0.006108652334660292,0.0,-0.004886921960860491,1669385662281,right,gyro,-0.0012217304902151227,0.0012217304902151227,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422225972600
1720460422270977400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732394,right,acc,0.1843535304069519,-0.10295066982507706,9.77791976928711,1669385662314,right,acc,0.05985504388809204,-0.05746084079146385,9.770736694335938,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422266947100
1720460422305772100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732416,right,gyro,0.006108652334660292,0.0,-0.00366519158706069,1669385662357,right,acc,0.07182604819536209,-0.0694318488240242,9.727641105651855,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422287139900
1720460422339354100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732313,right,acc,0.181959331035614,-0.0694318488240242,9.813833236694336,1669385662396,right,acc,0.009576806798577309,-0.12689268589019775,9.782708168029785,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422327867300
1720460422372888000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732474,right,acc,0.24899697303771973,-0.1149216815829277,9.825803756713867,1669385662417,right,gyro,0.0,0.0,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422372888000
1720460422406643800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732496,right,gyro,0.00366519158706069,0.0,-0.004886921960860491,1669385662458,right,gyro,0.0012217304902151227,0.0,-0.0024434609804302454,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422393078200
1720460422440209800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732536,right,gyro,0.00733038317412138,-0.0012217304902151227,-0.004886921960860491,1669385662497,right,acc,0.011971008032560349,-0.06224924325942993,9.761159896850586,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422434679300
