Threshold,Pedal,Error %,Precision,Recall,False Positives,False Negatives,True Positives,True Negatives,Total Samples,FP %,FN %
3000,Lower Left,0.04994344153309828,0.07272727272727272,0.038461538461538464,102,200,8,604374,604684,0.016868314689986837,0.033075126843111445
3000,Lower Right,0.6279312831164707,0.5657716300515324,0.48715553479682394,1601,2196,2086,598801,604684,0.2647663903791071,0.36316489273736363
3000,Total,0.20692626231221597,0.6379485443466486,0.5680482290881688,2139,2866,3769,2409962,2418736,0.08843462039676922,0.11849164191544675
5000,Upper Left,0.04139903376529449,0.8802395209580839,0.29253731343283584,40,711,294,1813007,1814052,0.0022050084562074295,0.03919402530908706
5000,Upper Right,0.1804799421405781,0.8009491903964265,0.5283609576427256,713,2561,2869,1807909,1814052,0.03930427573189743,0.14117566640868068
5000,Lower Left,0.04321816574166562,0.012195121951219513,0.003205128205128205,162,622,2,1813266,1814052,0.008930284247640089,0.03428788149402553
5000,Lower Right,0.6836077466357083,0.5704783021856192,0.14019928382375837,1356,11045,1801,1799850,1814052,0.07474978666543186,0.6088579599702765
5000,Total,0.23717622207081165,0.6861959375431809,0.249485054006531,2271,14939,4966,7234032,7256208,0.031297338775294205,0.20587888329551743
10000,Upper Left,0.055400837462211666,0.0,0.0,0,335,0,604349,604684,0.0,0.055400837462211666
10000,Upper Right,0.16934464943673058,0.8084772370486656,0.569060773480663,244,780,1030,602630,604684,0.04035165474859596,0.12899299468813463
10000,Lower Left,0.04729743138564937,0.0,0.0,78,208,0,604398,604684,0.012899299468813461,0.0343981319168359
10000,Lower Right,0.6515799988092955,0.6696428571428571,0.1576366184026156,333,3607,675,600069,604684,0.05507008619378055,0.5965099126155149
10000,Total,0.23090572927347178,0.722457627118644,0.2569706103993971,655,4930,1705,2411446,2418736,0.027080260102797495,0.2038254691706743
15000,Upper Left,0.055400837462211666,0.0,0.0,0,335,0,604349,604684,0.0,0.055400837462211666
15000,Upper Right,0.17480204536584396,0.805352798053528,0.5486187845303867,240,817,993,602634,604684,0.039690152211733734,0.13511189315411024
15000,Lower Left,0.04514754814084712,0.0,0.0,65,208,0,604411,604684,0.010749416224011219,0.0343981319168359
15000,Lower Right,0.7175648768613028,0.03278688524590164,0.00046707146193367583,59,4280,2,600343,604684,0.009757162418717876,0.707807714442585
15000,Total,0.24822882695755139,0.7321559970566593,0.14996232102486812,364,5640,995,2411737,2418736,0.015049182713615706,0.23317964424393567
20000,Upper Left,0.055400837462211666,0.0,0.0,0,335,0,604349,604684,0.0,0.055400837462211666
20000,Upper Right,0.17711730424486177,0.8051197357555739,0.5386740331491713,236,835,975,602638,604684,0.039028649674871504,0.13808865456999028
20000,Lower Left,0.0343981319168359,0.0,0.0,0,208,0,604476,604684,0.0,0.0343981319168359
20000,Lower Right,0.7142573641769916,0.0,0.0,37,4282,0,600365,604684,0.006118898465975617,0.708138465711016
20000,Total,0.24529340945022524,0.78125,0.146948003014318,273,5660,975,2411828,2418736,0.01128688703521178,0.23400652241501346
25000,Upper Left,0.055400837462211666,0.0,0.0,0,335,0,604349,604684,0.0,0.055400837462211666
25000,Upper Right,0.2060580402325843,0.7895277207392197,0.4248618784530387,205,1041,769,602669,604684,0.03390200501418923,0.17215603521839506
25000,Lower Left,0.0343981319168359,0.0,0.0,0,208,0,604476,604684,0.0,0.0343981319168359
25000,Lower Right,0.7132651103716983,0.0,0.0,31,4282,0,600371,604684,0.005126644660682274,0.708138465711016
25000,Total,0.25228052999583256,0.7651741293532338,0.11590052750565184,236,5866,769,2411865,2418736,0.009757162418717876,0.24252336757711468
30000,Upper Left,0.055400837462211666,0.0,0.0,0,335,0,604349,604684,0.0,0.055400837462211666
30000,Upper Right,0.22143797421463113,0.9700598802395209,0.26850828729281767,15,1324,486,602859,604684,0.0024806345132333584,0.21895733970139775
30000,Lower Left,0.0343981319168359,0.0,0.0,0,208,0,604476,604684,0.0,0.0343981319168359
30000,Lower Right,0.708138465711016,0.0,0.0,0,4282,0,600402,604684,0.0,0.708138465711016
30000,Total,0.2548438523261737,0.9700598802395209,0.07324792765636774,15,6149,486,2412086,2418736,0.0006201586283083396,0.25422369369786535
