wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,server_epoch_ms
left,1.6517796516418457,-0.0073303831741213,-0.616973876953125,seq,16671.0,1721412756563512800
left,1.814269781112671,0.1160643994808197,-0.6707300543785095,seq,16672.0,1721412756576793100
left,1.8374826908111568,0.1441642045974731,-0.740368664264679,seq,16673.0,1721412756588791400
left,1.842369556427002,0.0794124826788902,-0.7232644557952881,seq,16674.0,1721412756598539900
left,1.947438359260559,0.051312681287527,-0.6890559792518616,seq,16675.0,1721412756612875000
left,2.2064452171325684,0.147829383611679,-0.7843509912490845,seq,16676.0,1721412756641664500
left,2.498438835144043,0.2846632003784179,-0.807563841342926,seq,16677.0,1721412756663741900
left,2.707354784011841,0.3225368559360504,-0.827111542224884,seq,16678.0,1721412756680837900
left,2.809980154037476,0.3885102868080139,-0.8381071090698242,seq,16679.0,1721412756696269200
left,2.735454559326172,0.3640756905078888,-0.8478809595108032,seq,16680.0,1721412756720654100
left,2.908940315246582,0.4532620012760162,-0.8796459436416626,seq,16681.0,1721412756739094200
left,3.023782968521118,0.7049384713172913,-0.8674286603927612,seq,16682.0,1721412756753117300
left,2.919935941696167,0.740368664264679,-0.8943067193031311,seq,16683.0,1721412756761839800
left,2.6780333518981934,0.7293730974197388,-0.856433093547821,seq,16684.0,1721412756775028900
left,2.342057466506958,0.6389650702476501,-0.8258898258209229,seq,16685.0,1721412756783009900
left,2.043955087661743,0.5742133259773254,-0.7562511563301086,seq,16686.0,1721412756809788400
left,1.9523253440856931,0.6340781450271606,-0.7562511563301086,seq,16687.0,1721412756825801500
left,1.8509217500686648,0.6914994716644287,-0.6536257863044739,seq,16688.0,1721412756838812000
left,1.538158655166626,0.5204572081565857,-0.6328563690185547,seq,16689.0,1721412756846889600
left,1.5430456399917605,0.513126790523529,-0.616973876953125,seq,16690.0,1721412756860886200
left,1.880243182182312,0.6120869517326355,-0.7244861721992493,seq,16691.0,1721412756875896200
left,2.116037130355835,0.7122688889503479,-0.769690215587616,seq,16692.0,1721412756888889200
left,1.9999728202819824,0.6902777552604675,-0.7452555894851685,seq,16693.0,1721412756905892500
left,1.633453607559204,0.6328563690185547,-0.6719517707824707,seq,16694.0,1721412756919924000
left,1.3536773920059204,0.5595525503158569,-0.6279694437980652,seq,16695.0,1721412756929986600
left,1.2180652618408203,0.5400048494338989,-0.5619960427284241,seq,16696.0,1721412756945127100
left,1.166752576828003,0.5180137157440186,-0.5742133259773254,seq,16697.0,1721412756959921400
left,1.1313223838806152,0.5180137157440186,-0.5925393104553223,seq,16698.0,1721412756969910600
left,0.9761626720428468,0.442266434431076,-0.5363397002220154,seq,16699.0,1721412756976911600
