sw_epoch_ms,wrist_position,sensor_type,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,Watch Time
1721412612342,left,gyro,0.05375614017248154,0.00733038317412138,0.02687807008624077,seq,8599.0,1721412594532960100
1721412612364,left,acc,-1.5538369417190552,-3.756502389907837,8.865729331970215,seq,8600.0,1721412594550002200
1721412612366,left,gyro,0.06719517707824707,0.02076941914856434,0.02321287989616394,seq,8600.0,1721412594553945900
1721412612381,left,acc,-1.5394717454910278,-3.8091750144958496,8.987833023071289,seq,8601.0,1721412594571007300
1721412612383,left,gyro,0.09773843735456467,0.02932153269648552,0.02687807008624077,seq,8601.0,1721412594579004300
1721412612400,left,acc,-1.5442601442337036,-3.6559460163116455,8.89685344696045,seq,8602.0,1721412594585000000
1721412612401,left,gyro,0.07819075137376785,0.025656340643763542,0.018325956538319588,seq,8602.0,1721412594587001900
1721412612420,left,acc,-1.5825673341751099,-3.754108190536499,8.927978515625,seq,8603.0,1721412594605020500
1721412612421,left,gyro,0.04886921867728233,0.00733038317412138,0.021991148591041565,seq,8603.0,1721412594612008600
1721412612440,left,acc,-1.5849615335464478,-3.6774938106536865,8.916007041931152,seq,8604.0,1721412594627524900
1721412612441,left,gyro,0.042760565876960754,0.00366519158706069,0.019547687843441963,seq,8604.0,1721412594630552900
1721412612464,left,acc,-1.5705963373184204,-3.6128504276275635,8.935160636901855,seq,8605.0,1721412594652553100
1721412612466,left,gyro,0.05742133408784866,0.018325956538319588,0.025656340643763542,seq,8605.0,1721412594658550800
1721412612483,left,acc,-1.6160861253738403,-3.7014358043670654,8.942343711853027,seq,8606.0,1721412594671533500
1721412612484,left,gyro,0.042760565876960754,0.00855211354792118,0.019547687843441963,seq,8606.0,1721412594686642600
1721412612502,left,acc,-1.6184803247451782,-3.5745432376861572,9.023746490478516,seq,8607.0,1721412594698646800
1721412612504,left,gyro,0.02932153269648552,0.00366519158706069,0.025656340643763542,seq,8607.0,1721412594727732300
1721412612522,left,acc,-1.6208745241165161,-3.6750996112823486,8.932766914367676,seq,8608.0,1721412594731416200
1721412612523,left,gyro,0.03787364438176155,-0.004886921960860491,0.02076941914856434,seq,8608.0,1721412594734454700
1721412612540,left,acc,-1.5849615335464478,-3.6727054119110107,8.911218643188477,seq,8609.0,1721412594738465000
1721412612542,left,gyro,0.02687807008624077,-0.004886921960860491,0.02076941914856434,seq,8609.0,1721412594745421000
1721412612564,left,acc,-1.6687586307525635,-3.6391866207122803,8.875306129455566,seq,8610.0,1721412594756353900
1721412612566,left,gyro,0.009773843921720982,-0.00733038317412138,0.02076941914856434,seq,8610.0,1721412594765398600
1721412612580,left,acc,-1.534683346748352,-3.60566782951355,8.98543930053711,seq,8611.0,1721412594770479500
1721412612581,left,gyro,0.012217304669320583,-0.006108652334660292,0.018325956538319588,seq,8611.0,1721412594783463600
1721412612600,left,acc,-1.6136919260025024,-3.648763418197632,8.968679428100586,seq,8612.0,1721412594789358800
1721412612604,left,gyro,0.009773843921720982,-0.006108652334660292,0.0012217304902151227,seq,8612.0,1721412594799451000
1721412612622,left,acc,-1.5873557329177856,-3.4332852363586426,8.96389102935791,seq,8613.0,1721412594807389900
1721412612624,left,gyro,-0.00733038317412138,-0.010995574295520782,0.00855211354792118,seq,8613.0,1721412594814515200
1721412612640,left,acc,-1.5203180313110352,-3.5051112174987793,8.925583839416504,seq,8614.0,1721412594825439800
1721412612641,left,gyro,-0.03176499158143997,-0.019547687843441963,-0.00366519158706069,seq,8614.0,1721412594830129000
1721412612661,left,acc,-1.4987702369689941,-3.5865142345428467,8.923190116882324,seq,8615.0,1721412594846172400
1721412612663,left,gyro,-0.03298672288656235,-0.01710422709584236,0.004886921960860491,seq,8615.0,1721412594849168600
1721412612681,left,acc,-1.6112977266311646,-3.670311212539673,8.959102630615234,seq,8616.0,1721412594871168300
1721412612683,left,gyro,-0.05742133408784866,-0.01710422709584236,-0.0012217304902151227,seq,8616.0,1721412594880174300
1721412612702,left,acc,-1.5705963373184204,-3.73016619682312,8.98543930053711,seq,8617.0,1721412594890104600
1721412612703,left,gyro,-0.039095375686883926,-0.015882495790719986,-0.004886921960860491,seq,8617.0,1721412594902177500
1721412612723,left,acc,-1.558625340461731,-3.622427225112915,8.87051773071289,seq,8618.0,1721412594910176000
1721412612724,left,gyro,-0.0012217304902151227,0.0,-0.012217304669320583,seq,8618.0,1721412594914314600
1721412612741,left,acc,-1.6615760326385498,-3.6320040225982666,8.880094528198242,seq,8619.0,1721412594939926400
1721412612743,left,gyro,0.0012217304902151227,0.0012217304902151227,-0.013439035043120384,seq,8619.0,1721412595019450300
1721412612761,left,acc,-1.5969325304031372,-3.773261785507202,8.980650901794434,seq,8620.0,1721412595024450100
1721412612764,left,gyro,-0.030543262138962746,-0.018325956538319588,-0.00855211354792118,seq,8620.0,1721412595038184200
1721412612782,left,acc,-1.6065093278884888,-3.6774938106536865,8.935160636901855,seq,8621.0,1721412595056246100
1721412612784,left,gyro,-0.015882495790719986,-0.019547687843441963,-0.009773843921720982,seq,8621.0,1721412595060099600
1721412612803,left,acc,-1.6352397203445435,-3.670311212539673,8.920795440673828,seq,8622.0,1721412595062221600
1721412612805,left,gyro,0.004886921960860491,-0.01710422709584236,-0.015882495790719986,seq,8622.0,1721412595066192300
1721412612822,left,acc,-1.647210717201233,-3.550601005554199,8.918401718139648,seq,8623.0,1721412595069187100
1721412612828,left,gyro,-0.010995574295520782,-0.021991148591041565,-0.00855211354792118,seq,8623.0,1721412595072118700
1721412612842,left,acc,-1.5466543436050415,-3.6750996112823486,8.875306129455566,seq,8624.0,1721412595077186800
1721412612850,left,gyro,-0.0024434609804302454,-0.013439035043120384,-0.00733038317412138,seq,8624.0,1721412595083097100
1721412612864,left,acc,-1.5873557329177856,-3.708618402481079,8.889671325683594,seq,8625.0,1721412595086087300
1721412612867,left,gyro,-0.013439035043120384,-0.019547687843441963,-0.0012217304902151227,seq,8625.0,1721412595090415200
1721412612881,left,acc,-1.4963760375976562,-3.7493197917938232,8.96389102935791,seq,8626.0,1721412595093519400
1721412612883,left,gyro,-0.004886921960860491,-0.015882495790719986,0.0,seq,8626.0,1721412595097485000
1721412612901,left,acc,-1.5729905366897583,-3.5458126068115234,8.860940933227539,seq,8627.0,1721412595108408000
1721412612903,left,gyro,-0.0012217304902151227,-0.006108652334660292,-0.00366519158706069,seq,8627.0,1721412595111397300
1721412612922,left,acc,-1.5658079385757446,-3.6774938106536865,8.925583839416504,seq,8628.0,1721412595116439600
1721412612922,left,gyro,-0.010995574295520782,-0.02076941914856434,-0.0024434609804302454,seq,8628.0,1721412595128553500
1721412612941,left,acc,-1.4987702369689941,-3.5960910320281982,8.83699893951416,seq,8629.0,1721412595143770000
1721412612942,left,gyro,-0.006108652334660292,-0.010995574295520782,0.0,seq,8629.0,1721412595153734500
1721412612963,left,acc,-1.580173134803772,-3.6966474056243896,8.913613319396973,seq,8630.0,1721412595171717300
1721412612964,left,gyro,-0.009773843921720982,-0.012217304669320583,0.006108652334660292,seq,8630.0,1721412595187785900
1721412612981,left,acc,-1.5155296325683594,-3.7636849880218506,8.9064302444458,seq,8631.0,1721412595197803600
1721412612984,left,gyro,-0.006108652334660292,-0.013439035043120384,0.004886921960860491,seq,8631.0,1721412595204709600
1721412613001,left,acc,-1.5466543436050415,-3.646369218826294,8.880094528198242,seq,8632.0,1721412595209766900
1721412613004,left,gyro,0.02321287989616394,0.00855211354792118,-0.006108652334660292,seq,8632.0,1721412595216867900
1721412613022,left,acc,-1.5634137392044067,-3.6607344150543213,8.860940933227539,seq,8633.0,1721412595225811500
1721412613023,left,gyro,0.01466076634824276,0.012217304669320583,-0.00733038317412138,seq,8633.0,1721412595238435400
1721412613045,left,acc,-1.5131354331970215,-3.6535518169403076,8.889671325683594,seq,8634.0,1721412595269468000
1721412613048,left,gyro,-0.012217304669320583,0.004886921960860491,-0.004886921960860491,seq,8634.0,1721412595284463200
1721412613064,left,acc,-1.5873557329177856,-3.6966474056243896,8.956708908081055,seq,8635.0,1721412595291479800
1721412613069,left,gyro,-0.013439035043120384,0.010995574295520782,-0.0012217304902151227,seq,8635.0,1721412595299476100
1721412613082,left,acc,-1.5394717454910278,-3.6535518169403076,8.93037223815918,seq,8636.0,1721412595303519900
1721412613083,left,gyro,-0.012217304669320583,0.009773843921720982,0.0012217304902151227,seq,8636.0,1721412595306405300
1721412613102,left,acc,-1.525106430053711,-3.7636849880218506,8.899248123168945,seq,8637.0,1721412595314531900
1721412613104,left,gyro,-0.00855211354792118,0.010995574295520782,-0.00366519158706069,seq,8637.0,1721412595320592900
1721412613125,left,acc,-1.5107412338256836,-3.6846764087677,8.935160636901855,seq,8638.0,1721412595326593900
1721412613128,left,gyro,-0.009773843921720982,0.006108652334660292,-0.0024434609804302454,seq,8638.0,1721412595330271900
1721412613145,left,acc,-1.5729905366897583,-3.648763418197632,8.887276649475098,seq,8639.0,1721412595336288900
1721412613146,left,gyro,-0.01710422709584236,0.00366519158706069,-0.0024434609804302454,seq,8639.0,1721412595339198700
1721412613169,left,acc,-1.6352397203445435,-3.7708675861358643,8.911218643188477,seq,8640.0,1721412595354207300
1721412613171,left,gyro,-0.015882495790719986,0.00366519158706069,0.0012217304902151227,seq,8640.0,1721412595366168600
1721412613182,left,acc,-1.5275006294250488,-3.665522813796997,8.944737434387207,seq,8641.0,1721412595381404500
1721412613184,left,gyro,-0.006108652334660292,0.0024434609804302454,-0.0012217304902151227,seq,8641.0,1721412595388501300
1721412613203,left,acc,-1.6136919260025024,-3.7014358043670654,8.925583839416504,seq,8642.0,1721412595395351800
1721412613205,left,gyro,-0.006108652334660292,-0.0024434609804302454,-0.0024434609804302454,seq,8642.0,1721412595400456700
1721412613223,left,acc,-1.6041151285171509,-3.622427225112915,8.865729331970215,seq,8643.0,1721412595411941100
1721412613225,left,gyro,-0.024434609338641167,-0.009773843921720982,0.00733038317412138,seq,8643.0,1721412595416183400
1721412613248,left,acc,-1.5705963373184204,-3.756502389907837,8.856152534484863,seq,8644.0,1721412595440358700
1721412613252,left,gyro,-0.01710422709584236,-0.009773843921720982,0.004886921960860491,seq,8644.0,1721412595455392100
1721412613263,left,acc,-1.5322890281677246,-3.5936968326568604,8.942343711853027,seq,8645.0,1721412595465375900
1721412613265,left,gyro,-0.009773843921720982,-0.004886921960860491,0.00733038317412138,seq,8645.0,1721412595472428900
1721412613282,left,acc,-1.5179238319396973,-3.713406801223755,8.889671325683594,seq,8646.0,1721412595479421100
1721412613285,left,gyro,-0.021991148591041565,-0.009773843921720982,0.0012217304902151227,seq,8646.0,1721412595483436200
1721412613302,left,acc,-1.5107412338256836,-3.6727054119110107,8.973467826843262,seq,8647.0,1721412595489417700
1721412613303,left,gyro,-0.012217304669320583,-0.004886921960860491,-0.0012217304902151227,seq,8647.0,1721412595496412900
1721412613323,left,acc,-1.5705963373184204,-3.689464807510376,8.911218643188477,seq,8648.0,1721412595512426300
1721412613325,left,gyro,-0.02932153269648552,-0.006108652334660292,-0.004886921960860491,seq,8648.0,1721412595515521600
1721412613347,left,acc,-1.5634137392044067,-3.7828385829925537,8.925583839416504,seq,8649.0,1721412595536182200
1721412613349,left,gyro,-0.03787364438176155,-0.015882495790719986,0.0024434609804302454,seq,8649.0,1721412595551166100
1721412613366,left,acc,-1.5514427423477173,-3.7158010005950928,8.937555313110352,seq,8650.0,1721412595557071300
1721412613369,left,gyro,-0.03787364438176155,-0.010995574295520782,0.00855211354792118,seq,8650.0,1721412595561071400
1721412613382,left,acc,-1.6304513216018677,-3.7876269817352295,8.884882926940918,seq,8651.0,1721412595570090300
1721412613388,left,gyro,-0.0024434609804302454,-0.00366519158706069,-0.0024434609804302454,seq,8651.0,1721412595581089800
1721412613402,left,acc,-1.5322890281677246,-3.6750996112823486,8.865729331970215,seq,8652.0,1721412595590072400
1721412613405,left,gyro,-0.0012217304902151227,0.0024434609804302454,0.00366519158706069,seq,8652.0,1721412595601089900
1721412613423,left,acc,-1.6041151285171509,-3.7205893993377686,8.892065048217773,seq,8653.0,1721412595612178500
1721412613426,left,gyro,-0.013439035043120384,-0.009773843921720982,0.00733038317412138,seq,8653.0,1721412595616158900
1721412613446,left,acc,-1.5753847360610962,-3.754108190536499,8.959102630615234,seq,8654.0,1721412595635775100
1721412613451,left,gyro,-0.02076941914856434,-0.012217304669320583,0.00855211354792118,seq,8654.0,1721412595643872900
1721412613464,left,acc,-1.5059528350830078,-3.7253777980804443,8.913613319396973,seq,8655.0,1721412595656773800
1721412613465,left,gyro,0.006108652334660292,-0.0024434609804302454,0.00733038317412138,seq,8655.0,1721412595663888500
1721412613482,left,acc,-1.5849615335464478,-3.689464807510376,8.9064302444458,seq,8656.0,1721412595668895800
1721412613485,left,gyro,-0.00733038317412138,-0.010995574295520782,0.0024434609804302454,seq,8656.0,1721412595672816000
1721412613502,left,acc,-1.5873557329177856,-3.7445313930511475,8.813055992126465,seq,8657.0,1721412595689808500
1721412613504,left,gyro,-0.012217304669320583,-0.010995574295520782,0.00855211354792118,seq,8657.0,1721412595698870100
1721412613524,left,acc,-1.5538369417190552,-3.7612907886505127,8.911218643188477,seq,8658.0,1721412595720980400
1721412613526,left,gyro,-0.009773843921720982,-0.010995574295520782,0.006108652334660292,seq,8658.0,1721412595727934800
1721412613548,left,acc,-1.5107412338256836,-3.780444383621216,8.932766914367676,seq,8659.0,1721412595733602700
1721412613550,left,gyro,0.013439035043120384,0.004886921960860491,0.006108652334660292,seq,8659.0,1721412595738602300
1721412613564,left,acc,-1.5179238319396973,-3.6798880100250244,8.973467826843262,seq,8660.0,1721412595754608400
1721412613566,left,gyro,0.006108652334660292,0.0,0.0,seq,8660.0,1721412595764660500
1721412613582,left,acc,-1.580173134803772,-3.77565598487854,8.87291145324707,seq,8661.0,1721412595771667400
1721412613586,left,gyro,0.00733038317412138,-0.0024434609804302454,-0.00366519158706069,seq,8661.0,1721412595787657400
1721412613602,left,acc,-1.5155296325683594,-3.708618402481079,8.927978515625,seq,8662.0,1721412595807602900
1721412613604,left,gyro,-0.00733038317412138,-0.009773843921720982,0.0,seq,8662.0,1721412595813669900
1721412613623,left,acc,-1.5394717454910278,-3.706224203109741,8.860940933227539,seq,8663.0,1721412595817712500
1721412613626,left,gyro,-0.004886921960860491,-0.006108652334660292,0.0,seq,8663.0,1721412595820664000
1721412613647,left,acc,-1.6065093278884888,-3.7181951999664307,8.889671325683594,seq,8664.0,1721412595838428000
1721412613649,left,gyro,-0.013439035043120384,0.0024434609804302454,0.004886921960860491,seq,8664.0,1721412595858447900
1721412613664,left,acc,-1.4844050407409668,-3.8283286094665527,8.971074104309082,seq,8665.0,1721412595863359200
1721412613666,left,gyro,0.004886921960860491,0.009773843921720982,0.00366519158706069,seq,8665.0,1721412595872431300
1721412613683,left,acc,-1.5825673341751099,-3.643975019454956,8.923190116882324,seq,8666.0,1721412595884440000
1721412613684,left,gyro,0.019547687843441963,0.015882495790719986,-0.01466076634824276,seq,8666.0,1721412595895444900
1721412613703,left,acc,-1.53707754611969,-3.6176388263702393,8.844181060791016,seq,8667.0,1721412595898437900
