OBS Stamps,Watch Time,wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num
1721412524333333333,1.7214125243204815e+18,right,0.0561996027827262,-0.1563815027475357,0.0598647929728031,seq,5404.0
1721412524366666666,1.7214125243664676e+18,right,0.0769690200686454,-0.1771509200334549,0.090408056974411,seq,5406.0
1721412524400000000,1.72141252439214e+18,right,0.0256563406437635,-0.1795943826436996,0.0305432621389627,seq,5408.0
1721412524433333333,1.7214125244291784e+18,right,0.0354301854968071,-0.1832595765590667,-0.0097738439217209,seq,5410.0
1721412524466666666,1.721412524466263e+18,right,-0.0024434609804302,-0.1380555480718612,-0.0879645943641662,seq,5414.0
1721412524500000000,1.7214125244997842e+18,right,-0.0329867228865623,-0.0891863256692886,-0.098960168659687,seq,5416.0
1721412524533333333,1.721412524515809e+18,right,-0.0195476878434419,-0.0842994004487991,-0.0891863256692886,seq,5417.0
1721412524566666666,1.7214125245608545e+18,right,-0.0390953756868839,-0.0329867228865623,-0.0952949747443199,seq,5419.0
1721412524600000000,1.7214125245895122e+18,right,-0.0134390350431203,-0.0219911485910415,-0.0659734457731247,seq,5421.0
1721412524633333333,1.7214125246125627e+18,right,-0.0146607663482427,-0.0085521135479211,-0.051312681287527,seq,5422.0
1721412524666666666,1.7214125246505654e+18,right,-0.0659734457731247,0.0256563406437635,-0.0525344125926494,seq,5424.0
1721412524700000000,1.7214125246873155e+18,right,-0.1026253625750541,0.0452040284872055,-0.0610865242779254,seq,5426.0
1721412524733333333,1.721412524713383e+18,right,-0.0977384373545646,0.058643065392971,-0.067195177078247,seq,5427.0
1721412524766666666,1.7214125247533678e+18,right,-0.0928515195846557,0.0635299831628799,-0.0806342139840126,seq,5429.0
1721412524800000000,1.721412524768347e+18,right,-0.1246165111660957,0.0842994004487991,-0.0879645943641662,seq,5430.0
1721412524833333333,1.721412524810098e+18,right,-0.1123992055654525,0.0867428630590438,-0.0830776765942573,seq,5431.0
1721412524866666666,1.7214125248661514e+18,right,-0.0635299831628799,0.0928515195846557,-0.0659734457731247,seq,5433.0
1721412524900000000,1.7214125248888013e+18,right,-0.098960168659687,0.1148426681756973,-0.067195177078247,seq,5434.0
1721412524933333333,1.721412524915808e+18,right,-0.0708603709936142,0.1062905490398407,-0.0635299831628799,seq,5435.0
1721412524966666666,1.721412524952857e+18,right,-0.0500909499824047,0.090408056974411,-0.0452040284872055,seq,5437.0
1721412525000000000,1.72141252499066e+18,right,0.0171042270958423,0.0610865242779254,-0.0183259565383195,seq,5440.0
1721412525033333333,1.7214125250325862e+18,right,0.1331686228513717,0.0219911485910415,0.0085521135479211,seq,5443.0
1721412525066666666,1.7214125250526515e+18,right,0.1331686228513717,0.0036651915870606,0.0097738439217209,seq,5444.0
1721412525100000000,1.721412525091457e+18,right,0.2284636050462722,-0.0757472887635231,0.0452040284872055,seq,5446.0
1721412525133333333,1.7214125251087964e+18,right,0.2357939779758453,-0.0781907513737678,0.0452040284872055,seq,5447.0
1721412525166666666,1.7214125251498404e+18,right,0.2724458873271942,-0.0794124826788902,0.0623082555830478,seq,5449.0
1721412525200000000,1.7214125251681134e+18,right,0.2858849465847015,-0.0842994004487991,0.0867428630590438,seq,5450.0
1721412525233333333,1.7214125252217408e+18,right,0.2626720666885376,-0.098960168659687,0.0439822971820831,seq,5452.0
1721412525266666666,1.7214125252487667e+18,right,0.1600466966629028,-0.0708603709936142,-0.0012217304902151,seq,5454.0
1721412525300000000,1.7214125252865966e+18,right,0.2089159190654754,-0.0574213340878486,-0.0342084541916847,seq,5456.0
1721412525333333333,1.7214125253255455e+18,right,0.0207694191485643,0.0158824957907199,-0.0794124826788902,seq,5458.0
1721412525366666666,1.721412525347593e+18,right,0.0061086523346602,0.0305432621389627,-0.0830776765942573,seq,5459.0
1721412525400000000,1.721412525390306e+18,right,0.0232128798961639,0.0439822971820831,-0.0867428630590438,seq,5461.0
1721412525433333333,1.721412525423365e+18,right,-0.0549778714776039,0.0647517144680023,-0.0696386396884918,seq,5463.0
1721412525466666666,1.7214125254473247e+18,right,-0.0134390350431203,0.0415388382971286,-0.058643065392971,seq,5464.0
1721412525500000000,1.721412525467477e+18,right,-0.0146607663482427,0.0354301854968071,-0.0561996027827262,seq,5465.0
1721412525533333333,1.7214125255191194e+18,right,0.0134390350431203,0.0183259565383195,-0.0097738439217209,seq,5467.0
1721412525566666666,1.7214125255651722e+18,right,0.0048869219608604,-0.0073303831741213,0.0183259565383195,seq,5470.0
1721412525600000000,1.7214125255898683e+18,right,0.0146607663482427,-0.0048869219608604,0.0183259565383195,seq,5471.0
1721412525633333333,1.7214125256308928e+18,right,-0.0745255574584007,0.0415388382971286,0.0244346093386411,seq,5473.0
1721412525666666666,1.7214125256459374e+18,right,-0.0794124826788902,0.0733038261532783,0.0024434609804302,seq,5474.0
1721412525700000000,1.721412525667942e+18,right,-0.0427605658769607,0.0708603709936142,-0.0109955742955207,seq,5475.0
1721412525733333333,1.7214125257307471e+18,right,-0.0268780700862407,0.0794124826788902,0.0097738439217209,seq,5478.0
1721412525766666666,1.721412525765749e+18,right,-0.0427605658769607,0.1062905490398407,-0.0171042270958423,seq,5480.0
1721412525800000000,1.7214125257835067e+18,right,0.0403171069920063,0.0806342139840126,-0.0122173046693205,seq,5481.0
1721412525833333333,1.7214125258215114e+18,right,0.0342084541916847,0.0366519130766391,-0.0036651915870606,seq,5483.0
1721412525866666666,1.7214125258645284e+18,right,0.0317649915814399,0.0403171069920063,-0.0109955742955207,seq,5485.0
1721412525900000000,1.721412525896346e+18,right,0.0012217304902151,0.0537561401724815,-0.0012217304902151,seq,5486.0
1721412525933333333,1.7214125259232804e+18,right,0.0061086523346602,-0.0219911485910415,0.0109955742955207,seq,5488.0
1721412525966666666,1.7214125259463508e+18,right,-0.0158824957907199,-0.0549778714776039,0.0146607663482427,seq,5489.0
1721412526000000000,1.7214125259831524e+18,right,-0.0378736443817615,-0.0390953756868839,0.0219911485910415,seq,5490.0
1721412526033333333,1.721412526031082e+18,right,-0.0232128798961639,-0.0696386396884918,0.0280998013913631,seq,5493.0
1721412526066666666,1.7214125260470797e+18,right,-0.1637118905782699,-0.0415388382971286,0.0268780700862407,seq,5494.0
1721412526100000000,1.7214125260889308e+18,right,-0.167377084493637,0.0464257597923278,0.0329867228865623,seq,5496.0
1721412526133333333,1.7214125260889308e+18,right,-0.167377084493637,0.0464257597923278,0.0329867228865623,seq,5496.0
1721412526166666666,1.7214125260889308e+18,right,-0.167377084493637,0.0464257597923278,0.0329867228865623,seq,5496.0
1721412526200000000,1.7214125260889308e+18,right,-0.167377084493637,0.0464257597923278,0.0329867228865623,seq,5496.0
1721412526233333333,1.7214125260889308e+18,right,-0.167377084493637,0.0464257597923278,0.0329867228865623,seq,5496.0
1721412526266666666,1.7214125260889308e+18,right,-0.167377084493637,0.0464257597923278,0.0329867228865623,seq,5496.0
1721412526300000000,1.7214125260889308e+18,right,-0.167377084493637,0.0464257597923278,0.0329867228865623,seq,5496.0
1721412526333333333,1.7214125263295798e+18,right,-0.1453859210014343,0.0427605658769607,0.0256563406437635,seq,5497.0
1721412526366666666,1.7214125263625157e+18,right,-0.1527163088321685,0.0268780700862407,0.0366519130766391,seq,5500.0
1721412526400000000,1.7214125263952911e+18,right,-0.1099557429552078,0.0195476878434419,0.0403171069920063,seq,5502.0
1721412526433333333,1.7214125264122977e+18,right,-0.1661553531885147,0.0085521135479211,0.051312681287527,seq,5504.0
1721412526466666666,1.721412526464228e+18,right,-0.0561996027827262,-0.0195476878434419,0.0610865242779254,seq,5508.0
1721412526500000000,1.7214125264921485e+18,right,0.0390953756868839,-0.0244346093386411,0.0525344125926494,seq,5510.0
1721412526533333333,1.721412526524401e+18,right,-0.0097738439217209,0.0171042270958423,0.058643065392971,seq,5512.0
1721412526566666666,1.721412526560437e+18,right,0.1270599663257599,-0.0146607663482427,0.067195177078247,seq,5515.0
1721412526600000000,1.721412526587043e+18,right,0.0855211317539215,0.0061086523346602,0.0623082555830478,seq,5517.0
1721412526633333333,1.7214125266221294e+18,right,0.2797762751579284,-0.0525344125926494,0.0696386396884918,seq,5519.0
1721412526666666666,1.7214125266551368e+18,right,0.2223549485206604,-0.0183259565383195,0.0525344125926494,seq,5521.0
1721412526700000000,1.7214125266839168e+18,right,0.2015855312347412,-0.0500909499824047,-0.0024434609804302,seq,5523.0
1721412526733333333,1.7214125267209848e+18,right,0.1062905490398407,-0.0268780700862407,-0.0171042270958423,seq,5525.0
1721412526766666666,1.7214125267509622e+18,right,0.1087340116500854,-0.0549778714776039,-0.0256563406437635,seq,5527.0
1721412526800000000,1.7214125267907735e+18,right,0.1612684279680252,-0.051312681287527,0.0036651915870606,seq,5530.0
1721412526833333333,1.721412526832837e+18,right,0.0122173046693205,0.0244346093386411,-0.0036651915870606,seq,5532.0
1721412526866666666,1.7214125268588544e+18,right,0.0390953756868839,0.0171042270958423,-0.0500909499824047,seq,5534.0
1721412526900000000,1.7214125268916818e+18,right,0.0354301854968071,0.0415388382971286,-0.0061086523346602,seq,5536.0
1721412526933333333,1.7214125269176292e+18,right,0.1233947798609733,0.0207694191485643,0.0109955742955207,seq,5537.0
1721412526966666666,1.7214125269476675e+18,right,0.0818559452891349,0.0366519130766391,0.0146607663482427,seq,5539.0
1721412527000000000,1.7214125269686502e+18,right,0.0598647929728031,0.0354301854968071,-0.0012217304902151,seq,5540.0
1721412527033333333,1.7214125270128292e+18,right,0.058643065392971,0.0757472887635231,-0.0061086523346602,seq,5541.0
1721412527066666666,1.7214125270638346e+18,right,-0.0305432621389627,0.1087340116500854,0.0183259565383195,seq,5544.0
1721412527100000000,1.7214125270915973e+18,right,0.1466076523065567,0.0830776765942573,0.0500909499824047,seq,5546.0
1721412527133333333,1.721412527124581e+18,right,0.0733038261532783,0.1038470938801765,0.058643065392971,seq,5548.0
1721412527166666666,1.721412527164525e+18,right,0.1624901592731475,0.058643065392971,0.0623082555830478,seq,5550.0
1721412527200000000,1.721412527164525e+18,right,0.1624901592731475,0.058643065392971,0.0623082555830478,seq,5550.0
1721412527233333333,1.7214125272233902e+18,right,0.0842994004487991,0.0708603709936142,0.0403171069920063,seq,5552.0
1721412527266666666,1.721412527266366e+18,right,0.0537561401724815,0.0940732508897781,0.0109955742955207,seq,5555.0
1721412527300000000,1.7214125272881324e+18,right,-0.0256563406437635,0.0757472887635231,-0.0109955742955207,seq,5556.0
1721412527333333333,1.721412527314199e+18,right,-0.0598647929728031,0.0635299831628799,-0.0366519130766391,seq,5557.0
1721412527366666666,1.7214125273651825e+18,right,-0.0500909499824047,0.0720821022987365,-0.0109955742955207,seq,5560.0
1721412527400000000,1.7214125273651825e+18,right,-0.0500909499824047,0.0720821022987365,-0.0109955742955207,seq,5560.0
1721412527433333333,1.721412527418907e+18,right,-0.1014036312699318,0.1026253625750541,-0.0378736443817615,seq,5561.0
1721412527466666666,1.7214125274649656e+18,right,-0.3628539443016052,0.1905899494886398,-0.1392772793769836,seq,5564.0
1721412527500000000,1.721412527488739e+18,right,-0.5314527750015259,0.2761110961437225,-0.1881465017795562,seq,5566.0
1721412527533333333,1.7214125275236751e+18,right,-0.7012733221054077,0.461814135313034,-0.3335324227809906,seq,5568.0
1721412527566666666,1.7214125275557297e+18,right,-0.9004153609275818,0.6145304441452026,-0.3885102868080139,seq,5569.0
1721412527600000000,1.721412527596511e+18,right,-0.8319984674453735,0.6988298296928406,-0.4202753007411957,seq,5571.0
1721412527633333333,1.7214125276185075e+18,right,-1.0604621171951294,0.9553932547569276,-0.5277875661849976,seq,5573.0
1721412527666666666,1.7214125276605215e+18,right,-1.0018190145492554,1.018923282623291,-0.455705463886261,seq,5575.0
1721412527700000000,1.7214125276895224e+18,right,-0.9272934198379515,1.0299187898635864,-0.4581489264965057,seq,5576.0
1721412527733333333,1.7214125277185772e+18,right,-1.0299187898635864,1.1056660413742063,-0.4984660446643829,seq,5577.0
1721412527766666666,1.7214125277646257e+18,right,-1.0958921909332275,1.1496484279632568,-0.455705463886261,seq,5579.0
1721412527800000000,1.7214125277893522e+18,right,-0.8148942589759827,1.0348057746887207,-0.3530801236629486,seq,5581.0
1721412527833333333,1.7214125278303265e+18,right,-0.9590584635734558,1.0726794004440308,-0.3836233615875244,seq,5583.0
1721412527866666666,1.7214125278483297e+18,right,-0.9627236127853394,1.0067058801651,-0.2296853363513946,seq,5584.0
1721412527900000000,1.7214125278844393e+18,right,-0.5448917746543884,0.7098253965377808,-0.0158824957907199,seq,5586.0
1721412527933333333,1.7214125279201055e+18,right,-0.6621779203414917,0.6976081132888794,-0.058643065392971,seq,5587.0
1721412527966666666,1.7214125279530993e+18,right,-0.9395107626914978,0.5998696684837341,0.0378736443817615,seq,5589.0
1721412528000000000,1.7214125279851717e+18,right,-0.616973876953125,0.4288274049758911,0.1099557429552078,seq,5591.0
1721412528033333333,1.7214125280318436e+18,right,-0.9456194043159484,0.5412266254425049,0.1026253625750541,seq,5593.0
1721412528066666666,1.7214125280498578e+18,right,-0.8051204085350037,0.4825835525989532,0.1502728462219238,seq,5594.0
1721412528100000000,1.7214125280829788e+18,right,-0.4398229718208313,0.371406078338623,0.0635299831628799,seq,5596.0
1721412528133333333,1.721412528122639e+18,right,-0.7134906053543091,0.4434881806373596,-0.0280998013913631,seq,5597.0
